Eccentricity,ILM Z(mm),ILM I,ILM visibility,INL/OPL Z(mm),INL/OPL I,INL/OPL visibility,OPL/HFL Z(mm),OPL/HFL I,OPL/HFL visibility,ELM Z(mm),ELM I,ELM visibility,EZ Z(mm),EZ I,EZ visibility,IZ Z(mm),IZ I,IZ visibility,RPE/BL/BRM Z(mm),RPE/BL/BRM I,RPE/BL/BRM visibility,retinal thickness,photoreceptor length,bacillary thickness
0.0,0.499200,161.333333,continuous,[Ljava.lang.String;,287adb1e,0.518700,137.333333,not present,[Ljava.lang.String;,287adb1e,0.518700,137.333333,continuous,[Ljava.lang.String;,287adb1e,0.608400,109.666667,continuous,[Ljava.lang.String;,287adb1e,0.647400,181.666667,continuous,[Ljava.lang.String;,287adb1e,0.682500,178.333333,continuous,[Ljava.lang.String;,287adb1e,0.709800,195.666667,continuous,[Ljava.lang.String;,287adb1e,0.210600,0.163800,0.074100
-0.5,0.460200,89.666667,continuous,[Ljava.lang.String;,79efb08f,0.553800,96.000000,continuous,[Ljava.lang.String;,79efb08f,0.592800,93.333333,continuous,[Ljava.lang.String;,79efb08f,0.651300,70.666667,continuous,[Ljava.lang.String;,79efb08f,0.686400,250.666667,continuous,[Ljava.lang.String;,79efb08f,0.713700,248.000000,continuous,[Ljava.lang.String;,79efb08f,0.737100,225.000000,continuous,[Ljava.lang.String;,79efb08f,0.276900,0.140400,0.062400
0.5,0.413400,82.333333,continuous,[Ljava.lang.String;,1a533be0,0.510900,75.000000,continuous,[Ljava.lang.String;,1a533be0,0.546000,74.333333,continuous,[Ljava.lang.String;,1a533be0,0.604500,83.666667,continuous,[Ljava.lang.String;,1a533be0,0.635700,244.000000,continuous,[Ljava.lang.String;,1a533be0,0.663000,228.000000,continuous,[Ljava.lang.String;,1a533be0,0.686400,213.333333,continuous,[Ljava.lang.String;,1a533be0,0.273000,0.134550,0.058500
-1.0,0.432900,68.000000,continuous,[Ljava.lang.String;,3c6595b2,0.577200,122.000000,continuous,[Ljava.lang.String;,3c6595b2,0.616200,130.333333,continuous,[Ljava.lang.String;,3c6595b2,0.686400,70.333333,continuous,[Ljava.lang.String;,3c6595b2,0.713700,243.666667,continuous,[Ljava.lang.String;,3c6595b2,0.741000,232.666667,continuous,[Ljava.lang.String;,3c6595b2,0.764400,186.000000,continuous,[Ljava.lang.String;,3c6595b2,0.331500,0.144300,0.054600
1.0,0.354900,94.666667,continuous,[Ljava.lang.String;,6ace5e63,0.491400,84.666667,continuous,[Ljava.lang.String;,6ace5e63,0.518700,86.000000,continuous,[Ljava.lang.String;,6ace5e63,0.585000,85.000000,continuous,[Ljava.lang.String;,6ace5e63,0.612300,241.666667,continuous,[Ljava.lang.String;,6ace5e63,0.635700,227.333333,continuous,[Ljava.lang.String;,6ace5e63,0.663000,194.666667,continuous,[Ljava.lang.String;,6ace5e63,0.308100,0.130650,0.050700
-1.5,0.460200,132.000000,continuous,[Ljava.lang.String;,4819b06,0.612300,104.000000,continuous,[Ljava.lang.String;,4819b06,0.647400,98.000000,continuous,[Ljava.lang.String;,4819b06,0.709800,74.333333,continuous,[Ljava.lang.String;,4819b06,0.744900,239.666667,continuous,[Ljava.lang.String;,4819b06,0.764400,227.000000,continuous,[Ljava.lang.String;,4819b06,0.787800,201.666667,continuous,[Ljava.lang.String;,4819b06,0.327600,0.134550,0.054600
1.5,0.323700,148.333333,continuous,[Ljava.lang.String;,14055628,0.464100,77.000000,continuous,[Ljava.lang.String;,14055628,0.495300,102.333333,continuous,[Ljava.lang.String;,14055628,0.557700,76.000000,continuous,[Ljava.lang.String;,14055628,0.585000,253.333333,continuous,[Ljava.lang.String;,14055628,0.608400,237.000000,continuous,[Ljava.lang.String;,14055628,0.631800,203.666667,continuous,[Ljava.lang.String;,14055628,0.308100,0.128700,0.050700
-2.0,0.503100,146.333333,continuous,[Ljava.lang.String;,57ec319e,0.651300,97.333333,continuous,[Ljava.lang.String;,57ec319e,0.674700,90.000000,continuous,[Ljava.lang.String;,57ec319e,0.737100,87.333333,continuous,[Ljava.lang.String;,57ec319e,0.768300,253.000000,continuous,[Ljava.lang.String;,57ec319e,0.787800,215.000000,continuous,[Ljava.lang.String;,57ec319e,0.811200,201.666667,continuous,[Ljava.lang.String;,57ec319e,0.308100,0.124800,0.050700
2.0,0.308100,171.333333,continuous,[Ljava.lang.String;,33ac1616,0.432900,81.333333,continuous,[Ljava.lang.String;,33ac1616,0.468000,78.000000,continuous,[Ljava.lang.String;,33ac1616,0.522600,57.333333,continuous,[Ljava.lang.String;,33ac1616,0.549900,211.000000,continuous,[Ljava.lang.String;,33ac1616,0.573300,190.000000,continuous,[Ljava.lang.String;,33ac1616,0.592800,168.666667,continuous,[Ljava.lang.String;,33ac1616,0.284700,0.122850,0.050700
