Eccentricity;ILM Z(mm);ILM I;ILM BScan visibility;ILM LRP visibility;INL/OPL Z(mm);INL/OPL I;INL/OPL BScan visibility;INL/OPL LRP visibility;OPL/HFL Z(mm);OPL/HFL I;OPL/HFL BScan visibility;OPL/HFL LRP visibility;ELM Z(mm);ELM I;ELM BScan visibility;ELM LRP visibility;EZ Z(mm);EZ I;EZ BScan visibility;EZ LRP visibility;IZ Z(mm);IZ I;IZ BScan visibility;IZ LRP visibility;RPE/BL/BRM Z(mm);RPE/BL/BRM I;RPE/BL/BRM BScan visibility;RPE/BL/BRM LRP visibility;retinal thickness;photoreceptor length;bacillary thickness
0,0;0,538200;54,000000;continuous;slope;0,581100;71,666667;not present;not present;0,581100;71,666667;not present;not present;0,651300;123,666667;continuous;peak;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,702000;227,000000;continuous;peak;0,163800;NaN;NaN
-0,5;0,440700;61,666667;continuous;slope;0,546000;96,000000;continuous;slope;0,565500;96,666667;continuous;slope;0,651300;111,333333;continuous;peak;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,702000;213,000000;continuous;peak;0,261300;NaN;NaN
0,5;0,425100;79,666667;continuous;slope;0,542100;114,333333;continuous;slope;0,569400;102,333333;continuous;slope;0,639600;132,666667;continuous;peak;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,690300;220,000000;continuous;peak;0,265200;NaN;NaN
-1,0;0,405600;100,333333;continuous;slope;0,549900;98,666667;continuous;slope;0,581100;99,333333;continuous;slope;0,635700;112,000000;continuous;peak;0,663000;157,000000;uncertain;peak;NaN;NaN;not visible;not visible;0,686400;250,333333;continuous;peak;0,280800;NaN;NaN
1,0;0,374400;106,333333;continuous;slope;0,530400;112,333333;continuous;slope;0,561600;118,333333;continuous;slope;0,627900;146,333333;continuous;shoulder;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,659100;244,333333;continuous;peak;0,284700;NaN;NaN
-1,5;0,366600;83,000000;continuous;slope;0,518700;110,000000;continuous;slope;0,553800;105,000000;continuous;slope;0,612300;129,000000;continuous;peak;0,635700;166,000000;uncertain;peak;NaN;NaN;not visible;not visible;0,663000;198,333333;continuous;peak;0,296400;NaN;NaN
1,5;0,366600;50,333333;continuous;slope;0,514800;116,000000;continuous;slope;0,530400;117,666667;continuous;slope;0,592800;154,000000;continuous;peak;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,631800;248,333333;continuous;peak;0,265200;NaN;NaN
-2,0;0,343200;71,666667;continuous;slope;0,495300;87,666667;continuous;slope;0,534300;84,333333;continuous;slope;0,588900;91,333333;continuous;shoulder;0,616200;173,333333;uncertain;shoulder;NaN;NaN;not visible;not visible;0,635700;203,333333;continuous;peak;0,292500;NaN;NaN
2,0;0,390000;48,666667;continuous;slope;0,522600;123,666667;continuous;slope;0,561600;108,333333;continuous;slope;0,608400;116,000000;continuous;peak;0,635700;206,666667;continuous;peak;NaN;NaN;not visible;not visible;0,670800;250,000000;continuous;peak;0,280800;NaN;NaN
