Eccentricity;ILM Z(mm);ILM I;ILM BScan visibility;ILM LRP visibility;INL/OPL Z(mm);INL/OPL I;INL/OPL BScan visibility;INL/OPL LRP visibility;OPL/HFL Z(mm);OPL/HFL I;OPL/HFL BScan visibility;OPL/HFL LRP visibility;ELM Z(mm);ELM I;ELM BScan visibility;ELM LRP visibility;EZ Z(mm);EZ I;EZ BScan visibility;EZ LRP visibility;IZ Z(mm);IZ I;IZ BScan visibility;IZ LRP visibility;RPE/BL/BRM Z(mm);RPE/BL/BRM I;RPE/BL/BRM BScan visibility;RPE/BL/BRM LRP visibility;retinal thickness;photoreceptor length;bacillary thickness
0,0;0,487500;84,000000;continuous;slope;0,507000;91,000000;not present;not present;0,507000;91,000000;not present;not present;0,620100;134,000000;continuous;peak;0,659100;184,000000;discontinuous;peak;0,690300;209,000000;not visible;slope;0,705900;246,666667;continuous;peak;0,218400;0,183300;0,070200
-0,5;0,390000;78,333333;continuous;slope;0,530400;120,333333;continuous;slope;0,569400;111,333333;continuous;slope;0,651300;188,666667;continuous;peak;0,682500;192,333333;not visible;peak;0,702000;183,666667;not visible;slope;0,717600;213,333333;continuous;peak;0,327600;0,152100;0,050700
0,5;0,429000;85,666667;continuous;slope;0,577200;119,000000;continuous;slope;0,600600;92,333333;continuous;slope;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,713700;222,333333;continuous;peak;0,284700;NaN;NaN
-1,0;0,374400;104,666667;continuous;slope;0,561600;120,000000;continuous;slope;0,604500;97,000000;discontinuous;slope;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,709800;244,333333;continuous;peak;0,335400;NaN;NaN
1,0;0,436800;72,666667;continuous;slope;0,651300;93,333333;continuous;slope;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,694200;197,000000;continuous;peak;0,257400;NaN;NaN
-1,5;0,351000;87,666667;continuous;slope;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;NaN
1,5;0,390000;71,666667;continuous;slope;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,666900;206,000000;continuous;peak;0,276900;NaN;NaN
-2,0;0,343200;100,000000;continuous;slope;0,522600;131,666667;discontinuous;slope;0,549900;159,333333;continuous;slope;0,631800;115,000000;continuous;peak;0,659100;164,666667;discontinuous;peak;0,690300;177,000000;not visible;slope;0,702000;223,000000;continuous;peak;0,358800;0,154050;0,058500
2,0;0,327600;67,000000;continuous;slope;0,452400;109,666667;continuous;slope;0,491400;95,000000;continuous;slope;0,561600;134,666667;continuous;peak;0,588900;217,000000;continuous;peak;0,616200;185,000000;not visible;slope;0,631800;228,333333;continuous;peak;0,304200;0,144300;0,054600
