Eccentricity,ILM Z(mm),ILM I,ILM visibility,INL/OPL Z(mm),INL/OPL I,INL/OPL visibility,OPL/HFL Z(mm),OPL/HFL I,OPL/HFL visibility,ELM Z(mm),ELM I,ELM visibility,EZ Z(mm),EZ I,EZ visibility,IZ Z(mm),IZ I,IZ visibility,RPE/BL/BRM Z(mm),RPE/BL/BRM I,RPE/BL/BRM visibility,retinal thickness,photoreceptor length,bacillary thickness
0.0,0.596700,214.000000,continuous,[Ljava.lang.String;,455c80ad,0.596700,214.000000,not present,[Ljava.lang.String;,455c80ad,0.620100,112.000000,continuous,[Ljava.lang.String;,455c80ad,0.729300,105.666667,continuous,[Ljava.lang.String;,455c80ad,0.760500,141.666667,continuous,[Ljava.lang.String;,455c80ad,0.803400,237.000000,not visible,[Ljava.lang.String;,455c80ad,0.822900,202.333333,continuous,[Ljava.lang.String;,455c80ad,0.226200,0.195000,0.074100
-0.5,0.530400,60.333333,continuous,[Ljava.lang.String;,3dd955a2,0.624000,108.333333,continuous,[Ljava.lang.String;,3dd955a2,0.670800,102.333333,continuous,[Ljava.lang.String;,3dd955a2,0.748800,91.333333,continuous,[Ljava.lang.String;,3dd955a2,0.780000,245.666667,continuous,[Ljava.lang.String;,3dd955a2,0.811200,245.000000,not visible,[Ljava.lang.String;,3dd955a2,0.830700,197.666667,continuous,[Ljava.lang.String;,3dd955a2,0.300300,0.163800,0.062400
0.5,0.514800,104.000000,continuous,[Ljava.lang.String;,3f00da8c,0.608400,133.333333,continuous,[Ljava.lang.String;,3f00da8c,0.639600,112.333333,continuous,[Ljava.lang.String;,3f00da8c,0.729300,96.000000,continuous,[Ljava.lang.String;,3f00da8c,0.764400,245.666667,continuous,[Ljava.lang.String;,3f00da8c,0.791700,237.000000,continuous,[Ljava.lang.String;,3f00da8c,0.819000,202.000000,continuous,[Ljava.lang.String;,3f00da8c,0.304200,0.167700,0.062400
-1.0,0.483600,110.000000,continuous,[Ljava.lang.String;,15dc5922,0.647400,121.000000,continuous,[Ljava.lang.String;,15dc5922,0.678600,110.666667,continuous,[Ljava.lang.String;,15dc5922,0.756600,92.666667,continuous,[Ljava.lang.String;,15dc5922,0.795600,249.000000,continuous,[Ljava.lang.String;,15dc5922,0.819000,248.666667,continuous,[Ljava.lang.String;,15dc5922,0.842400,193.000000,continuous,[Ljava.lang.String;,15dc5922,0.358800,0.156000,0.062400
1.0,0.456300,133.666667,continuous,[Ljava.lang.String;,d0c6983,0.612300,98.666667,continuous,[Ljava.lang.String;,d0c6983,0.639600,97.333333,continuous,[Ljava.lang.String;,d0c6983,0.725400,84.666667,continuous,[Ljava.lang.String;,d0c6983,0.756600,229.666667,continuous,[Ljava.lang.String;,d0c6983,0.783900,247.000000,continuous,[Ljava.lang.String;,d0c6983,0.803400,196.000000,continuous,[Ljava.lang.String;,d0c6983,0.347100,0.157950,0.058500
-1.5,0.475800,150.666667,continuous,[Ljava.lang.String;,16f3c5ff,0.663000,114.000000,continuous,[Ljava.lang.String;,16f3c5ff,0.694200,114.000000,continuous,[Ljava.lang.String;,16f3c5ff,0.768300,100.333333,continuous,[Ljava.lang.String;,16f3c5ff,0.799500,251.666667,continuous,[Ljava.lang.String;,16f3c5ff,0.822900,250.333333,continuous,[Ljava.lang.String;,16f3c5ff,0.846300,195.666667,continuous,[Ljava.lang.String;,16f3c5ff,0.370500,0.144300,0.054600
1.5,0.460200,122.666667,continuous,[Ljava.lang.String;,3227d350,0.608400,111.333333,continuous,[Ljava.lang.String;,3227d350,0.635700,121.000000,continuous,[Ljava.lang.String;,3227d350,0.717600,79.333333,continuous,[Ljava.lang.String;,3227d350,0.744900,245.000000,continuous,[Ljava.lang.String;,3227d350,0.764400,247.333333,continuous,[Ljava.lang.String;,3227d350,0.787800,173.000000,continuous,[Ljava.lang.String;,3227d350,0.327600,0.142350,0.046800
-2.0,0.499200,104.000000,continuous,[Ljava.lang.String;,ab7d462,0.670800,114.000000,continuous,[Ljava.lang.String;,ab7d462,0.705900,107.000000,continuous,[Ljava.lang.String;,ab7d462,0.776100,91.666667,continuous,[Ljava.lang.String;,ab7d462,0.807300,245.666667,continuous,[Ljava.lang.String;,ab7d462,0.826800,241.666667,continuous,[Ljava.lang.String;,ab7d462,0.846300,185.666667,continuous,[Ljava.lang.String;,ab7d462,0.347100,0.138450,0.050700
2.0,0.468000,106.666667,continuous,[Ljava.lang.String;,4121b53c,0.600600,104.000000,continuous,[Ljava.lang.String;,4121b53c,0.631800,88.666667,continuous,[Ljava.lang.String;,4121b53c,0.702000,68.333333,continuous,[Ljava.lang.String;,4121b53c,0.729300,255.000000,continuous,[Ljava.lang.String;,4121b53c,0.752700,233.333333,continuous,[Ljava.lang.String;,4121b53c,0.780000,172.666667,continuous,[Ljava.lang.String;,4121b53c,0.312000,0.136500,0.050700
