Eccentricity,ILM Z(mm),ILM I,ILM BScan visibility,ILM LRP visibility,INL/OPL Z(mm),INL/OPL I,INL/OPL BScan visibility,INL/OPL LRP visibility,OPL/HFL Z(mm),OPL/HFL I,OPL/HFL BScan visibility,OPL/HFL LRP visibility,ELM Z(mm),ELM I,ELM BScan visibility,ELM LRP visibility,EZ Z(mm),EZ I,EZ BScan visibility,EZ LRP visibility,IZ Z(mm),IZ I,IZ BScan visibility,IZ LRP visibility,RPE/BL/BRM Z(mm),RPE/BL/BRM I,RPE/BL/BRM BScan visibility,RPE/BL/BRM LRP visibility,retinal thickness,photoreceptor length,bacillary thickness
0.0,0.643500,73.000000,continuous,slope,0.643500,73.000000,not present,not present,0.643500,73.000000,not present,not present,0.748800,102.333333,continuous,peak,0.780000,158.333333,continuous,peak,0.822900,213.333333,not visible,slope,0.834600,240.000000,continuous,shoulder peak,0.191100,0.179400,0.074100
-0.5,0.565500,47.333333,continuous,slope,0.624000,94.000000,continuous,slope,0.655200,80.666667,continuous,slope,0.752700,102.000000,continuous,peak,0.780000,200.333333,continuous,peak,0.811200,200.333333,continuous,slope,0.826800,245.333333,continuous,peak,0.261300,0.171600,0.058500
0.5,0.557700,90.000000,continuous,slope,0.620100,121.000000,continuous,slope,0.647400,110.666667,continuous,slope,0.752700,106.666667,continuous,peak,0.787800,203.000000,continuous,peak,0.819000,205.666667,continuous,slope,0.830700,237.000000,continuous,peak,0.273000,0.185250,0.066300
-1.0,0.499200,151.000000,continuous,slope,0.631800,99.333333,continuous,slope,0.655200,92.666667,continuous,slope,0.737100,105.666667,continuous,peak,0.768300,230.666667,continuous,peak,0.795600,203.000000,not visible,shoulder,0.811200,219.666667,continuous,peak,0.312000,0.152100,0.058500
1.0,0.507000,62.666667,continuous,slope,0.647400,105.666667,continuous,slope,0.666900,107.666667,continuous,slope,0.748800,122.666667,continuous,peak,0.776100,227.333333,continuous,peak,0.803400,240.666667,not visible,shoulder,0.815100,253.000000,continuous,peak,0.308100,0.146250,0.054600
-1.5,0.471900,135.000000,continuous,slope,0.635700,93.000000,continuous,slope,0.663000,68.666667,continuous,slope,0.733200,77.666667,continuous,peak,0.756600,217.666667,continuous,peak,0.780000,221.666667,not visible,shoulder,0.795600,237.000000,continuous,peak,0.323700,0.130650,0.046800
1.5,0.499200,96.666667,continuous,slope,0.639600,129.000000,continuous,slope,0.663000,103.000000,continuous,slope,0.737100,120.333333,continuous,peak,0.764400,207.333333,continuous,peak,0.787800,238.000000,not visible,peak,0.803400,231.666667,continuous,peak,0.304200,0.136500,0.050700
-2.0,0.475800,167.000000,continuous,slope,0.624000,110.000000,continuous,slope,0.647400,84.666667,continuous,slope,0.709800,94.333333,continuous,peak,0.756600,188.000000,not visible,shoulder,0.776100,248.000000,continuous,peak,0.776100,248.000000,continuous,peak,0.300300,0.140400,0.066300
2.0,0.507000,54.333333,continuous,slope,0.647400,110.333333,continuous,slope,0.663000,117.333333,continuous,slope,0.725400,114.000000,continuous,peak,0.748800,194.000000,continuous,peak,0.768300,243.666667,not visible,peak,0.787800,240.333333,continuous,peak,0.280800,0.113100,0.042900
