SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;00; 0,000; 0,500;-180,000;180,000;119,424;27,132;36,616;199,140;6025
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;01; 0,500; 1,500;-45,000;45,000;183,117;22,587;105,652;252,099;12094
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;02; 0,500; 1,500;45,000;135,000;172,889;24,764;88,733;272,017;12094
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;03; 0,500; 1,500;135,000;225,000;173,159;27,232;101,042;267,241;12095
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;04; 0,500; 1,500;225,000;315,000;175,462;28,863;100,645;270,600;12093
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;05; 1,500; 3,000;-45,000;45,000;264,249;40,965;89,566;387,885;40799
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;06; 1,500; 3,000;45,000;135,000;251,378;50,799;57,081;375,060;40800
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;07; 1,500; 3,000;135,000;225,000;247,939;38,158;61,678;354,362;40800
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;ETDRS;08; 1,500; 3,000;225,000;315,000;250,678;51,205;57,267;362,595;40797
