SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;43; 1,347; 1,721;215,000;235,000;221,216;21,453;148,073;288,007;1544
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;44; 1,347; 1,721;237,500;257,500;213,882;32,989;103,914;303,828;1540
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;45; 1,347; 1,721;260,000;280,000;209,607;31,069;126,950;310,921;1535
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;46; 1,347; 1,721;282,500;302,500;218,830;30,972;132,109;296,398;1542
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;47; 1,347; 1,721;305,000;325,000;216,774;24,184;139,594;290,637;1544
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;48; 1,347; 1,721;327,500;347,500;213,554;29,451;127,856;281,210;1540
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;49; 1,721; 2,095;-10,000;10,000;232,235;31,098;128,074;315,078;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;50; 1,721; 2,095;12,500;32,500;240,449;21,787;160,911;305,373;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;51; 1,721; 2,095;35,000;55,000;246,658;25,799;148,196;330,854;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;52; 1,721; 2,095;57,500;77,500;244,489;35,131;120,178;335,248;1916
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;53; 1,721; 2,095;80,000;100,000;248,282;33,042;156,671;372,600;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;54; 1,721; 2,095;102,500;122,500;217,971;49,809;62,073;306,431;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;55; 1,721; 2,095;125,000;145,000;239,398;34,574;84,294;324,872;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;56; 1,721; 2,095;147,500;167,500;242,916;28,344;128,348;329,268;1916
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;57; 1,721; 2,095;170,000;190,000;243,885;22,379;173,895;306,324;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;58; 1,721; 2,095;192,500;212,500;242,090;22,519;149,140;300,127;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;59; 1,721; 2,095;215,000;235,000;220,697;60,856;65,446;324,701;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;60; 1,721; 2,095;237,500;257,500;220,581;63,702;57,267;331,361;1916
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;61; 1,721; 2,095;260,000;280,000;224,896;59,903;67,396;321,153;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;62; 1,721; 2,095;282,500;302,500;217,509;63,148;61,908;345,962;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;63; 1,721; 2,095;305,000;325,000;244,834;31,204;131,242;319,666;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;64; 1,721; 2,095;327,500;347,500;239,113;39,279;89,566;326,437;1916
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;65; 2,169; 2,544;-10,000;10,000;278,181;22,573;204,489;349,335;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;66; 2,169; 2,544;12,500;32,500;268,855;28,409;158,472;342,062;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;67; 2,169; 2,544;35,000;55,000;259,450;43,151;113,455;339,678;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;68; 2,169; 2,544;57,500;77,500;264,605;50,116;101,878;375,060;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;69; 2,169; 2,544;80,000;100,000;242,429;64,326;64,588;340,393;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;70; 2,169; 2,544;102,500;122,500;259,758;40,694;106,236;336,614;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;71; 2,169; 2,544;125,000;145,000;256,457;55,743;75,800;344,874;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;72; 2,169; 2,544;147,500;167,500;266,718;20,924;192,350;338,560;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;73; 2,169; 2,544;170,000;190,000;254,878;30,193;119,372;322,057;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;74; 2,169; 2,544;192,500;212,500;248,048;45,970;66,701;321,908;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;75; 2,169; 2,544;215,000;235,000;267,673;22,959;86,116;324,178;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;76; 2,169; 2,544;237,500;257,500;247,676;63,042;66,754;347,428;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;77; 2,169; 2,544;260,000;280,000;255,683;37,744;83,654;323,864;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;78; 2,169; 2,544;282,500;302,500;279,044;28,362;117,229;344,868;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;79; 2,169; 2,544;305,000;325,000;267,509;50,998;88,083;356,466;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;80; 2,169; 2,544;327,500;347,500;283,745;26,075;170,738;363,587;2366
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;81; 2,544; 2,918;-10,000;10,000;290,969;25,026;200,173;387,885;2734
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;82; 2,544; 2,918;12,500;32,500;283,237;29,173;150,806;379,918;2747
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;83; 2,544; 2,918;35,000;55,000;276,104;29,328;154,460;362,297;2736
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;84; 2,544; 2,918;57,500;77,500;266,154;45,702;104,113;350,126;2748
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;85; 2,544; 2,918;80,000;100,000;257,871;61,429;71,070;358,936;2734
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;86; 2,544; 2,918;102,500;122,500;266,451;56,477;64,845;366,663;2747
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;87; 2,544; 2,918;125,000;145,000;266,406;47,902;80,250;356,791;2736
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;88; 2,544; 2,918;147,500;167,500;265,071;26,604;165,929;347,999;2748
