Eccentricity,ILM Z(mm),ILM I,ILM BScan visibility,ILM LRP visibility,INL/OPL Z(mm),INL/OPL I,INL/OPL BScan visibility,INL/OPL LRP visibility,OPL/HFL Z(mm),OPL/HFL I,OPL/HFL BScan visibility,OPL/HFL LRP visibility,ELM Z(mm),ELM I,ELM BScan visibility,ELM LRP visibility,EZ Z(mm),EZ I,EZ BScan visibility,EZ LRP visibility,IZ Z(mm),IZ I,IZ BScan visibility,IZ LRP visibility,RPE/BL/BRM Z(mm),RPE/BL/BRM I,RPE/BL/BRM BScan visibility,RPE/BL/BRM LRP visibility,retinal thickness,photoreceptor length,bacillary thickness
0.0,0.604500,155.333333,continuous,slope,0.624000,102.333333,not present,not present,0.624000,102.333333,not present,not present,0.709800,109.333333,continuous,peak,0.741000,180.000000,continuous,peak,0.783900,205.000000,not visible,peak,0.795600,194.000000,continuous,shoulder,0.191100,0.159900,0.074100
-0.5,0.546000,75.000000,continuous,slope,0.608400,87.000000,continuous,slope,0.624000,85.000000,continuous,slope,0.709800,126.333333,continuous,peak,0.748800,233.333333,continuous,peak,0.780000,238.666667,not visible,peak,0.795600,216.000000,continuous,shoulder peak,0.249600,0.163800,0.070200
0.5,0.530400,94.666667,continuous,slope,0.624000,106.000000,continuous,slope,0.643500,96.333333,continuous,slope,0.721500,112.666667,continuous,peak,0.752700,246.333333,continuous,peak,NaN,NaN,continuous,not visible,0.807300,190.000000,continuous,slope,0.276900,NaN,NaN
-1.0,0.460200,97.333333,continuous,peak,0.600600,109.000000,continuous,slope,0.624000,103.333333,continuous,slope,0.709800,91.666667,continuous,peak,0.737100,235.666667,continuous,peak,NaN,NaN,continuous,not visible,0.783900,200.333333,continuous,shoulder,0.323700,NaN,NaN
1.0,0.479700,108.666667,continuous,slope,0.624000,116.333333,continuous,slope,0.643500,100.333333,continuous,slope,0.721500,80.000000,continuous,peak,0.748800,221.000000,continuous,peak,0.776100,242.333333,continuous,peak,0.799500,208.000000,continuous,peak,0.319800,0.142350,0.054600
-1.5,0.425100,158.333333,continuous,slope,0.592800,89.666667,continuous,slope,0.624000,53.666667,continuous,slope,0.698100,47.000000,continuous,peak,0.721500,178.000000,continuous,peak,0.748800,206.666667,continuous,peak,0.772200,167.666667,continuous,shoulder,0.347100,0.140400,0.050700
1.5,0.475800,113.666667,continuous,slope,0.620100,104.333333,continuous,slope,0.647400,89.000000,continuous,slope,0.709800,75.000000,continuous,peak,0.737100,195.666667,continuous,peak,0.764400,244.333333,continuous,peak,0.783900,218.000000,continuous,shoulder,0.308100,0.130650,0.054600
-2.0,0.417300,178.333333,continuous,slope,0.581100,118.666667,continuous,slope,0.612300,104.666667,continuous,slope,0.678600,66.000000,continuous,peak,0.705900,218.333333,continuous,peak,0.729300,235.666667,not visible,peak,0.744900,209.000000,continuous,shoulder peak,0.327600,0.132600,0.050700
2.0,0.487500,165.666667,continuous,slope,0.616200,104.333333,continuous,slope,0.639600,81.000000,continuous,slope,0.698100,85.000000,continuous,peak,0.725400,235.000000,continuous,peak,0.748800,221.666667,continuous,peak,0.768300,212.000000,continuous,peak,0.280800,0.120900,0.050700
